old_url,link_kind,reason,http_status,redirect_target,legacy_product_id,source_legacy_product_id,source_file
/images/products/ACO-RPABP-525.jpg,asset,file_status_failed,403,,,437813,output_437813.json
/images/products/BRA-D04-K324-525.jpg,asset,file_status_failed,403,,,1176246,output_1176246.json
/images/products/CK-8215-525.jpg,asset,file_status_failed,403,,,560718,output_560718.json
/images/products/DEL-SS33U32D-R-525.jpg,asset,file_status_failed,403,,,198548,output_198548.json
/images/products/KWI-802TVH-SQT-525.jpg,asset,file_status_failed,403,,,346729,output_346729.json
/specials/images/DEL-S35U-specifications.jpg,asset,file_status_failed,403,,,583921,output_583921.json
/site/product.cfm?id=10030,legacy_page,legacy_product_unresolved,404,https://www.doorware.com/404.cfm?CFID=140630532&CFTOKEN=32b88e241ef48091-C6421F89-C739-76E1-5CAD36CE1E27C808,10030,885461,output_885461.json
/site/product.cfm?id=12313,legacy_page,legacy_product_unresolved,404,https://www.doorware.com/404.cfm?CFID=140630520&CFTOKEN=defa64a0d8159dbe-C641D810-0675-0BD2-35B86B578C8037DB,12313,12311,output_12311.json
/site/product.cfm?id=204934,legacy_page,legacy_product_unresolved,404,https://www.doorware.com/404.cfm?CFID=140630526&CFTOKEN=87d7b532d0413447-C6420296-F4EE-64B3-187256968CB9D582,204934,204942,output_204942.json
/site/product.cfm?id=204961,legacy_page,legacy_product_unresolved,404,https://www.doorware.com/404.cfm?CFID=140630527&CFTOKEN=6cd94daedb6fd805-C64206CA-D892-3139-6EE22972749D8D65,204961,204956,output_204956.json
/site/product.cfm?id=324406,legacy_page,legacy_product_unresolved,404,https://www.doorware.com/404.cfm?CFID=140630528&CFTOKEN=276e47d2fef754e0-C6420B08-D724-C535-061E2228973F90A6,324406,335659,output_335659.json
/site/product.cfm?id=65687,legacy_page,legacy_product_unresolved,404,https://www.doorware.com/404.cfm?CFID=140630530&CFTOKEN=4d4f56be2a1dba08-C64213AC-B829-BC8B-98133B899B0DD2D0,65687,623383,output_623383.json
/images/products/exit_security_bar_525.jpeg,asset,upload_filename_mismatch,200,,,377841,output_377841.json
/specials/pdf/ahi/AHI-462.pdf,asset,uploaded_processing_timeout,403,,,161851,output_161851.json
/specials/pdf/baldwin/BAL-6790.pdf,asset,uploaded_processing_timeout,403,,,337417,output_337417.json
/specials/pdf/del/DEL-G1RL-specifications.pdf,asset,uploaded_processing_timeout,403,,,705385,output_705385.json
/specials/pdf/emtek/EMT-2206-Specifications.pdf,asset,uploaded_processing_timeout,403,,,1102832,output_1102832.json
/specials/pdf/emtek/EMT-222202-Specification.pdf,asset,uploaded_processing_timeout,403,,,1002442,output_1002442.json
/specials/pdf/emtek/EMT-95024-installation.pdf,asset,uploaded_processing_timeout,403,,,1257454,output_1257454.json
/specials/pdf/emtek/EMT-95024-specifications.pdf,asset,uploaded_processing_timeout,403,,,1257454,output_1257454.json
/specials/pdf/grandeur/GRA-FAVNEWENTR-specifications.pdf,asset,uploaded_processing_timeout,403,,,989566,output_989566.json
/specials/pdf/grandeur/GRA-GEOCHM-Specification.pdff,asset,uploaded_processing_timeout,403,,,26621,output_26621.json
